mine_id,mine_name,State,latitude,longitude,mine_type,resource_extracted,depth(m),accident_date,killed,injured,remarks,temperature,humidity,wind_speed,weather_desc,AQI,CO,NO2,SO2,PM2.5,PM10,Slope_Angle,Groundwater_Level,Seismic_Activity
MINE070,Hatti gold Mines,Karnataka,16.197,76.66,underground ,Gold,300,30.10.2019,0,1,Electrically operated LHD,28.09,33,few clouds,1.04,4,667.57,22.96,5.48,51.21,63.23,1.338807898266162,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000 | Mag: 4.4, Depth: 87.728km, Time: 2025-04-02 00:22:04.069000"
MINE346,Bagdona-Chhatarpur mine ,Madhya Pradesh,22.13761111111111,78.09977777777777,underground,coal,300,06.03.2025,3,0,Underground mine roof collapsed.,25.87,42,overcast clouds,3.58,4,594.14,6.6,4.29,63.3,69.9,0.9274099368729609,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000"
MINE347,Manganese Ore India Limited,Maharashtra.,21.17647222222222,79.05472222222222,both,coal,300,05.03.2025,2,1,Roof of a 100-metre-deep mine collapsed.,27.16,37,few clouds,2.51,4,660.9,12.17,12.28,59.84,70.24,5.292862301669,No Data,"Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000 | Mag: 4.7, Depth: 11.223km, Time: 2025-04-02 04:35:28.132000"
MINE348,Oil India Limited: Pipeline HQ,Assam,26.17169444444444,91.83494444444445,underground,coal,300,07.01.2025,1,0,"While calibration work of Pressure Safety Valve(PSV) fitted in a Heater treater was being carried out in the Heater Treater area of Group Gathering Station (GGS) of a Production Oil mine, a fire broke out due to sudden outflow of oil and gas from the open flange of Pressure Safety Valve (PSV) of the Heater Treater due to which a person working nearby got entrapped in the fire, resulting in severe burn injuries to which he succumbed therein.",23.29,44,broken clouds,1.08,5,1188.28,25.02,7.75,135.59,167.34,2.12246034166423,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.3, Depth: 341.857km, Time: 2025-04-02 15:45:26.667000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000"
MINE349,Umrangso,Assam,25.57369985,92.82165716824402,opencast,coal,300,06.01.2025,9,0,A 300-foot-deep mine was flooded due to damage to an underground water source during excavation,22.92,64,scattered clouds,1.69,5,560.76,4.67,2.92,82.97,92.94,5.05977038046654,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.3, Depth: 341.857km, Time: 2025-04-02 15:45:26.667000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000"
MINE350,Kankanee Colliery,Jharkhand.,23.795532,86.330604,opencast,coal,300,05.01.2025,1,0,"During extraction of fiery coal by merging in water chobha near the Excavation. steam broke out taken place resulted in burnt injury to shovel operator Munna Chouhan later on succumbed to death in Bokaro General Hospital, Bokaro.",28.25,10,overcast clouds,0.71,4,647.54,10.54,8.94,58.34,79.64,2.026477182451464,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE351,Khottadih colliery,West Bengal,23.7244,87.233,opencast,coal,300,03.01.2025,1,0,"He was an Assistant Supervisor Line (Telephone Lines) went to underground workings and fell down into a 1200 te underground strata coal bunker in R-V Seam, which is about 50m in depth and succumbed to the serious injuries.",27.85,48,scattered clouds,2.69,5,1241.68,27.76,19.55,108.81,136.22,2.744988360301538,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 4.3, Depth: 341.857km, Time: 2025-04-02 15:45:26.667000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000"
MINE352,Kakatiya Khani Opencast-III Mine,Telangana,18.434261,79.857403,opencast,coal,300,02.01.2025,1,0,"While driving Volvo truck No. 378 from the 950 RL dump yard to the 825 RL quarry, he failed to notice the stopped truck No. 381 at the west junction, leading to a head-to-tail collision on the driver's side and resulting in injuries to his left leg. He died after six days while undergoing medical treatment.",28.58,46,few clouds,2.86,2,453.95,4.8,1.21,17.44,24.25,2.163109192601354,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE353,Gangaramchak Mining Private Limited colliery,West Bengal,23.8111657466652,87.2106843190803,opencast,coal,300,07.10.2024,6,3,A truck loaded with   a detonatorcame   for unloading for planned blasting activities to extract coal; the detonator   exploded in the process.,28.02,35,scattered clouds,2.39,4,814.44,11.31,6.44,72.86,98.33,3.176370503803132,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
MINE354,Kabribad Reorganised   Mine,Jharkhand,24.14983333333333,86.30727777777777,underground,coal,250,12.05.2024,1,0,"Fatal Accident Due to Fall from Overburden Dump Along with   Dozer: While a person was performing maintenance work on a Dozer on an   overburden dump, he accidentally drove off on it and the Dozer slid down   along the slope of the dump to a depth of about 25 m during which he received   grievous bodily injuries and succumbed to the injuries while undergoing   treatment at the hospital.",27.68,10,overcast clouds,2.72,4,580.79,7.28,7.99,57.41,75.97,7.101907054697524,No Data,"Mag: 4.3, Depth: 212.165km, Time: 2025-04-02 18:45:04.329000 | Mag: 4.3, Depth: 35.761km, Time: 2025-04-02 18:01:33.433000 | Mag: 5, Depth: 10km, Time: 2025-04-02 16:27:12.271000 | Mag: 6.2, Depth: 25.989km, Time: 2025-04-02 14:03:57.428000 | Mag: 4.7, Depth: 10km, Time: 2025-04-02 10:45:06.095000"
