mine_name,latitude,longitude,mine_type,resource_extracted,depth,killed,injured,temperature,humidity,wind_speed,weather_desc,AQI,CO,NO2,SO2,PM2.5,PM10,Slope_Angle,accident_year,accident_month,accident_weekday,Seismic_Magnitude,Seismic_Depth,hazard_type
Hatti gold Mines,16.197,76.66,underground ,Gold,300,0,1,28.09,33,few clouds,1.04,4,667.57,22.96,5.48,51.21,63.23,1.338807898266162,2019,10,2,4.3,35.761,Other
Bagdona-Chhatarpur mine ,22.13761,78.09978,underground,coal,300,3,0,25.87,42,overcast clouds,3.58,4,594.14,6.6,4.29,63.3,69.9,0.9274099368729608,2025,3,3,4.3,35.761,Mine Collapse
Manganese Ore India Limited,21.17647,79.05472,both,coal,300,2,1,27.16,37,few clouds,2.51,4,660.9,12.17,12.28,59.84,70.24,5.292862301669,2025,3,2,4.3,35.761,Mine Collapse
Oil India Limited: Pipeline HQ,26.17169,91.83494,underground,coal,300,1,0,23.29,44,broken clouds,1.08,5,1188.28,25.02,7.75,135.59,167.34,2.12246034166423,2025,1,1,4.3,212.165,Fire
Umrangso,25.5737,92.82166,opencast,coal,300,9,0,22.92,64,scattered clouds,1.69,5,560.76,4.67,2.92,82.97,92.94,5.05977038046654,2025,1,0,4.3,212.165,Flooding
Kankanee Colliery,23.79553,86.3306,opencast,coal,300,1,0,28.25,10,overcast clouds,0.71,4,647.54,10.54,8.94,58.34,79.64,2.026477182451464,2025,1,6,4.3,212.165,Fire
Khottadih colliery,23.7244,87.233,opencast,coal,300,1,0,27.85,48,scattered clouds,2.69,5,1241.68,27.76,19.55,108.81,136.22,2.744988360301538,2025,1,4,4.3,212.165,Other
Kakatiya Khani Opencast-III Mine,18.43426,79.8574,opencast,coal,300,1,0,28.58,46,few clouds,2.86,2,453.95,4.8,1.21,17.44,24.25,2.163109192601354,2025,1,3,4.3,212.165,Other
Gangaramchak Mining Private Limited colliery,23.81117,87.21068,opencast,coal,300,6,3,28.02,35,scattered clouds,2.39,4,814.44,11.31,6.44,72.86,98.33,3.176370503803132,2024,10,0,4.3,212.165,Other
Kabribad Reorganised   Mine,24.14983,86.30728,underground,coal,250,1,0,27.68,10,overcast clouds,2.72,4,580.79,7.28,7.99,57.41,75.97,7.101907054697524,2024,5,6,4.3,212.165,Other
Sawar Marble Mine,25.75031,75.21722,opencast, Dolomitic marble mine,300,1,0,24.71,34,clear sky,3.15,3,353.81,3.21,3.22,28.83,50.79,2.257541134187544,2024,4,2,4.3,35.761,Other
Sial Ghoghri coal mine,22.16081,78.70006,underground,coal,450,1,0,24.5,38,overcast clouds,1.27,4,527.38,4.67,3.07,61.13,65.99,2.727906511704626,2024,4,4,4.3,35.761,Other
No.1 pit of the No. 2   Colliery of ECL,23.68583,86.86097,opencast,coal,300,2,3,27.89,19,broken clouds,1.45,4,834.47,15.77,11.21,72.81,97.85,3.035580251075896,2024,4,1,4.3,212.165,Other
Sulebyle Building Stone   Quarry  at survey no. 1,14.22756,75.57778,opencast,stone quarry,150,1,0,24.64,71,broken clouds,2.62,2,270.37,2.21,0.26,13.03,16.19,0.0,2024,3,4,4.3,35.761,Gas Explosion
Mankhand GraniteMine,25.99633,75.28236,opencast,Granite,150,1,0,24.47,26,clear sky,2.67,3,370.5,4.24,3.1,29.81,51.91,3.46009077542619,2024,3,1,4.3,35.761,Other
Bharatpur Open Cast   Project Mine,20.96131,85.12378,opencast,coal,150,1,0,24.43,75,few clouds,2.82,3,534.06,6.34,1.82,31.15,39.92,3.704791833718337,2024,3,3,4.3,212.165,Other
Palaspani Manganese   Mine,21.84078,79.96272,both,Manganese,150,1,2,27.86,20,scattered clouds,2.48,4,567.44,4.84,2.62,58.41,62.61,0.9991103403734882,2024,3,2,4.3,35.761,Other
Kalyanikhani No. 1   incline Mine,18.47936,79.83914,both,coal,150,1,0,28.89,44,few clouds,2.43,2,453.95,4.8,1.21,17.44,24.25,3.905592188856691,2024,3,2,4.3,212.165,Other
Pahara Stone Mine,25.22514,80.76806,opencast,stone quarry,150,4,0,28.4,18,overcast clouds,0.96,4,614.17,6.51,2.24,67.18,72.05,14.50849694100888,2024,3,1,4.3,35.761,Mine Collapse
Garjanbahal Open Cast   Project Mine,22.02111,83.71389,opencast,coal,150,1,0,26.03,11,broken clouds,4.31,4,423.91,1.82,11.8,57.56,70.28,3.836752913449106,2024,3,5,4.3,212.165,Other
Churcha Mine,23.33417,82.52,underground,coal,150,1,0,24.3,14,overcast clouds,2.15,4,433.92,3.94,3.61,52.99,57.52,4.437008822765019,2024,3,2,4.3,212.165,Other
NMDC iron ore plant's   SP-3 mine,19.10697,82.16417,opencast,iron ore,150,4,0,25.17,43,clear sky,3.08,3,433.92,3.38,2.03,41.11,49.02,4.334122761482973,2024,2,2,4.3,212.165,Other
Abandoned open cast   mine ,22.0275,82.11242,opencast,coal,150,3,2,28.7,14,overcast clouds,2.93,4,534.06,3.98,3.76,64.54,68.93,3.836764611535392,2024,2,3,4.3,212.165,Mine Collapse
Granite Mine,24.80269,72.98569,opencast,Granite,150,3,1,24.64,11,clear sky,0.77,3,347.14,3.98,2.65,24.05,54.63,3.578149224254038,2024,2,2,4.3,35.761,Mine Collapse
Sri Someshwara   Properties  Pvt.Ltd.,13.02122,77.61969,opencast,coal,300,1,0,23.84,65,scattered clouds,2.85,2,393.87,8.48,7.39,19.01,22.94,4.227975673789809,2024,1,5,4.3,35.761,Gas Explosion
Rathole mining,25.90525,93.69633,opencast,coal,300,6,4,22.76,48,few clouds,0.88,5,667.57,3.04,2.0,94.86,106.65,1.030986937294904,2024,1,3,4.3,212.165,Gas Explosion
Daharra Stone Mine    ,24.75208,79.85311,opencast,stone quarry,150,1,0,27.32,27,broken clouds,1.87,4,574.11,2.79,1.0,66.17,69.13,2.961352627238548,2024,1,1,4.3,35.761,Other
Narayankuri colliery ,23.59672,87.09881,opencast,coal,300,3,10,27.41,51,few clouds,2.92,5,1255.04,19.54,10.73,123.69,152.39,1.854334168829563,2023,10,4,4.3,212.165,Mine Collapse
Mid West Granite Company,16.99381,80.05289,opencast,Granite,300,1,0,26.54,71,broken clouds,2.06,2,390.53,7.63,13.47,22.13,30.97,2.14901087545978,2023,9,2,4.3,212.165,Other
GDK-11 incline underground coal mine,18.6917,79.5494,underground,coal,300,1,0,29.58,44,broken clouds,1.31,2,607.49,13.54,6.62,21.68,33.57,4.721319377189308,2023,8,4,4.3,212.165,Mine Collapse
Lloyds Metals and Energy Limited,19.7704,79.8136,metallic,steelplant,200,3,3,30.53,39,broken clouds,1.82,3,453.95,4.54,1.74,40.77,46.3,2.94926177510507,2023,8,0,4.3,212.165,Other
Garjanbahal opencast mine ,21.99528,83.77389,opencast,coal,300,2,5,26.48,12,broken clouds,4.29,4,440.6,1.84,12.99,66.82,77.36,5.979978711666349,2023,4,2,4.3,212.165,Other
Rajgamar mine of SECL,22.3906,82.8244,opencast,coal,300,1,0,26.22,15,overcast clouds,1.79,4,507.36,9.0,20.98,58.24,66.05,1.854334168853263,2022,7,1,4.3,212.165,Other
Illegal mining site of Kaparsa Colliery,23.7585,86.7545,opencast,coal,300,3,0,28.2,11,overcast clouds,0.79,5,1001.36,22.62,16.93,81.69,112.2,10.84668611901161,2022,5,0,4.3,212.165,Mine Collapse
Illegal mine in Khadakwani,22.08444,75.46667,opencast,quarry,150,1,0,32.27,27,overcast clouds,1.99,3,427.25,4.03,7.63,26.39,30.98,2.780288515528755,2022,2,1,4.3,35.761,Mine Collapse
